เลขที่ CIF,วันที่ประเมิน,Grade,การจัดส่ง
380000938,15/6/2565,5.BB,ส่งเเล้ว
380000938,9/7/2565 0:00,5.BB,ส่งเเล้ว
750798220,8/1/2565 0:00,10.DDD,ส่งเเล้ว
750769764,8/11/2565 0:00,10.DDD,ส่งเเล้ว
750794184,8/4/2565 0:00,7.CCC,ส่งเเล้ว
750854232,4/2/2565 0:00,8.CC,ส่งเเล้ว
750205147,18/2/2565,6.B+,ส่งเเล้ว
750794593,29/3/2565,3.A+,ส่งเเล้ว
750794593,3/9/2565 0:00,7.CCC,ส่งเเล้ว
380002624,4/4/2565 0:00,4.BBB,ส่งเเล้ว
750775273,25/4/2565,7.CCC,ส่งเเล้ว
750894182,4/4/2565 0:00,8.CC,ส่งเเล้ว
750805202,31/3/2565,7.CCC,ส่งเเล้ว
750766732,6/9/2565 0:00,7.CCC,ส่งเเล้ว
750794593,19/8/2565,4.BBB,ส่งเเล้ว
750766732,23/8/2565,7.CCC,ส่งเเล้ว
750765821,8/11/2565 0:00,8.CC,ส่งเเล้ว
750800525,8/11/2565 0:00,4.BBB,ส่งเเล้ว
750905135,9/8/2565 0:00,6.B+,ส่งเเล้ว
750805202,17/11/2565,7.CCC,ส่งเเล้ว
630010083,4/12/2565 0:00,8.CC,ส่งเเล้ว
750769754,8/11/2565 0:00,10.DDD,ส่งเเล้ว
nan,nan,nan,ส่งเเล้ว
750899369,21/9/2565,8.CC,ส่งเเล้ว
750764319,18/3/2565,6.B+,ส่งเเล้ว
750765097,243195,8.CC,ส่งเเล้ว
750906220,28/2/2565,9.C+,ส่งเเล้ว
730015345,14/1/2565,10.DDD,ส่งเเล้ว
nan,25/3/2565,4.BBB,ส่งเเล้ว
750774147,25/4/2565,5.BB,ส่งเเล้ว
750285641,19/5/2565,6.B+,ส่งเเล้ว
nan,31/5/2565,4.BBB,ส่งเเล้ว
750862970,30/6/2565,4.BBB,ส่งเเล้ว
750285641,25/8/2565,6.B+,ส่งเเล้ว
750928835,243203,7.CCC,ส่งเเล้ว
750928824,18/11/2565,7.CCC,ส่งเเล้ว
750285641,19/12/2565,5.BB,ส่งเเล้ว
730015345,21/12/2565,10.DDD,ส่งเเล้ว
750811477,23/12/2565,8.CC,ส่งเเล้ว
750394788,243095,8.CC,ส่งเเล้ว
620003353,243095,3.A+,ส่งเเล้ว
750346699,28/1/2565,9.C+,ส่งเเล้ว
750434909,14/2/2565,5.BB,ส่งเเล้ว
750750146,15/3/2565,6.B+,ส่งเเล้ว
750434909,18/4/2565,5.BB,ส่งเเล้ว
750909137,243196,4.BBB,ส่งเเล้ว
750760423,19/3/2565,3.A+,ส่งเเล้ว
750759293,23/3/2565,4.BBB,ส่งเเล้ว
750760423,27/8/2565,3.A+,ส่งเเล้ว
799012254,26/8/2565,5.BB,ส่งเเล้ว
750931078,23/11/2565,4.BBB,ส่งเเล้ว
750748113,21/12/2565,3.A+,ส่งเเล้ว
nan,1/10/2565 0:00,9.C+,ส่งเเล้ว
540002759,2/8/2565 0:00,6.B+,ส่งเเล้ว
750800923,2/2/2565 0:00,3.A+,ส่งเเล้ว
750346149,3/1/2565 0:00,8.CC,ส่งเเล้ว
380003509,3/1/2565 0:00,9.C+,ส่งเเล้ว
750902516,3/11/2565 0:00,8.CC,ส่งเเล้ว
750909949,25/3/2565,6.B+,ส่งเเล้ว
750814617,21/4/2565,5.BB,ส่งเเล้ว
750911355,21/4/2565,3.A+,ส่งเเล้ว
750902516,5/3/2565 0:00,8.CC,ส่งเเล้ว
730016736,22/4/2565,3.A+,ส่งเเล้ว
750867488,20/4/2565,7.CCC,ส่งเเล้ว
750901135,25/5/2565,9.C+,ส่งเเล้ว
750913505,18/5/2565,11.DD,ส่งเเล้ว
nan,6/9/2565 0:00,5.BB,ส่งเเล้ว
750836331,29/6/2565,4.BBB,ส่งเเล้ว
750905127,9/6/2565 0:00,8.CC,ส่งเเล้ว
750708445,1/6/2565 0:00,6.B+,ส่งเเล้ว
750923707,16/6/2565 0:00,3.A+,ส่งเเล้ว
750805168,14/7/2565 0:00,6.B+,ส่งเเล้ว
750897863,14/7/2565 0:00,4.BBB,ส่งเเล้ว
680011941,14/6/2565 0:00,10.DDD,ส่งเเล้ว
750792562,5/12/2565 0:00,4.BBB,ส่งเเล้ว
nan,27/6/2565 0:00,4.BBB,ส่งเเล้ว
750271193,7/12/2565 0:00,8.CC,ส่งเเล้ว
nan,24/8/2565 0:00,4.BBB,ส่งเเล้ว
490001117,8/2/2565 0:00,9.C+,ส่งเเล้ว
750925051,8/10/2565 0:00,8.CC,ส่งเเล้ว
750432988,31/8/2565,7.CCC,ส่งเเล้ว
750766899,19/9/2565,3.A+,ส่งเเล้ว
750902516,28/10/2565,9.C+,ส่งเเล้ว
nan,11/3/2565 0:00,3.A+,ส่งเเล้ว
750363096,11/8/2565 0:00,3.A+,ส่งเเล้ว
750676697,25/10/2565,4.BBB,ส่งเเล้ว
750902516,15/11/2565,7.CCC,ส่งเเล้ว
nan,20/12/2565,8.CC,ส่งเเล้ว
nan,18/11/2565,6.B+,ส่งเเล้ว
nan,12/1/2565 0:00,9.C+,ส่งเเล้ว
nan,19/12/2565,4.BBB,ส่งเเล้ว
750893627,16/12/2565,6.B+,ส่งเเล้ว
750933349,16/12/2565,8.CC,ส่งเเล้ว
750293549,7/10/2565 0:00,5.BB,ส่งเเล้ว
540002407,27/5/2565,5.BB,ส่งเเล้ว
750775740,243066,3.A+,ส่งเเล้ว
750797871,243193,9.C+,ส่งเเล้ว
nan,28/1/2565,9.C+,ส่งเเล้ว
750810015,242930,4.BBB,ส่งเเล้ว
750803774,242922,5.BB,ส่งเเล้ว
750314936,29/4/2565,10.DDD,ส่งเเล้ว
750418373,28/4/2565,8.CC,ส่งเเล้ว
310006546,26/8/2565,5.BB,ส่งเเล้ว
nan,15/9/2565,5.BB,ส่งเเล้ว
310006546,21/11/2565,5.BB,ส่งเเล้ว
nan,31/10/2565,4.BBB,ส่งเเล้ว
750775740,243081,3.A+,ส่งเเล้ว
750399457,29/4/2565,10.DDD,ส่งเเล้ว
750397321,22/12/2565,11.DD,ส่งเเล้ว
750397349,22/12/2565,8.CC,ส่งเเล้ว
750897984,29/12/2565,5.BB,ส่งเเล้ว
750804849,6/6/2565 0:00,6.B+,ส่งเเล้ว
750398494,8/6/2565 0:00,8.CC,ส่งเเล้ว
750792563,6/6/2565 0:00,9.C+,ส่งเเล้ว
nan,8/6/2565 0:00,6.B+,ส่งเเล้ว
750671692,14/6/2565,6.B+,ส่งเเล้ว
750823818,17/3/2565,5.BB,ส่งเเล้ว
750823818,22/6/2565,4.BBB,ส่งเเล้ว
750823818,22/6/2565,5.BB,ส่งเเล้ว
750762025,5/9/2565 0:00,8.CC,ส่งเเล้ว
750936890,15/7/2565,5.BB,ส่งเเล้ว
nan,22/7/2565,4.BBB,ส่งเเล้ว
750935383,14/2/2565,4.BBB,ส่งเเล้ว
680015190,28/2/2565,6.B+,ส่งเเล้ว
750934800,18/2/2565,8.CC,ส่งเเล้ว
750360207,23/2/2565,9.C+,ส่งเเล้ว
750897863,15/3/2565,3.A+,ส่งเเล้ว
750080392,3/11/2565 0:00,6.B+,ส่งเเล้ว
750947293,29/4/2565,6.B+,ส่งเเล้ว
750792563,15/7/2565 0:00,9.C+,ส่งเเล้ว
nan,8/10/2565 0:00,6.B+,ส่งเเล้ว
nan,15/9/2565,6.B+,ส่งเเล้ว
750080392,25/8/2565,7.CCC,ส่งเเล้ว
750716062,27/12/2565,5.BB,ส่งเเล้ว
750424388,11/11/2565 0:00,7.CCC,ส่งเเล้ว
701012,21/10/2565,9.C+,ส่งเเล้ว
nan,19/12/2565,6.B+,ส่งเเล้ว
520000466,22/11/2565,7.CCC,ส่งเเล้ว
580001959,21/10/2565,5.BB,ส่งเเล้ว
750644395,21/10/2565,6.B+,ส่งเเล้ว
730007522,11/2/2565 0:00,6.B+,ส่งเเล้ว
750602275,11/2/2565 0:00,5.BB,ส่งเเล้ว
480003207,28/6/2565 0:00,10.DDD,ส่งเเล้ว
750900842,6/2/2565 0:00,7.CCC,ส่งเเล้ว
750662105,25/4/2565,10.DDD,ส่งเเล้ว
750929907,13/9/2565,6.B+,ส่งเเล้ว
750662105,14/11/2565,10.DDD,ส่งเเล้ว
750245930,21/12/2565,9.C+,ส่งเเล้ว
730046386,29/12/2565,10.DDD,ส่งเเล้ว
750958513,17/8/2565,6.B+,ส่งเเล้ว
750903011,2/10/2565 0:00,8.CC,ส่งเเล้ว
750903011,8/3/2565 0:00,8.CC,ส่งเเล้ว
750900842,8/9/2565 0:00,7.CCC,ส่งเเล้ว
730022248,7/1/2565 0:00,9.C+,ส่งเเล้ว
nan,27/1/2565,10.DDD,ส่งเเล้ว
750245930,2/8/2565 0:00,10.DDD,ส่งเเล้ว
750430676,20/1/2565,9.C+,ส่งเเล้ว
750430676,21/9/2565,9.C+,ส่งเเล้ว
730046386,2/11/2565 0:00,10.DDD,ส่งเเล้ว
550005508,2/2/2565 0:00,9.C+,ส่งเเล้ว
550005508,25/4/2565,9.C+,ส่งเเล้ว
750716560,17/2/2565,8.CC,ส่งเเล้ว
nan,8/3/2565 0:00,9.C+,ส่งเเล้ว
750662106,3/10/2565 0:00,10.DDD,ส่งเเล้ว
750722644,3/11/2565 0:00,10.DDD,ส่งเเล้ว
750697586,4/3/2565 0:00,11.DD,ส่งเเล้ว
750662105,14/3/2565,10.DDD,ส่งเเล้ว
750312453,19/4/2565,10.DDD,ส่งเเล้ว
750326504,5/3/2565 0:00,9.C+,ส่งเเล้ว
750326504,6/9/2565 0:00,9.C+,ส่งเเล้ว
750326504,25/11/2565,9.C+,ส่งเเล้ว
750847672,5/5/2565 0:00,10.DDD,ส่งเเล้ว
750847672,11/3/2565 0:00,10.DDD,ส่งเเล้ว
750443343,16/12/2565,8.CC,ส่งเเล้ว
750759942,29/12/2564,8.CC,ส่งเเล้ว
670005540,29/12/2564,8.CC,ส่งเเล้ว
730008353,16/11/2566,8.CC,ส่งเเล้ว
750382531,25/11/2565,nan,ส่งเเล้ว
680008224,30/11/2565,nan,ส่งเเล้ว
550001382,20/1/2565,19.sCCC,ส่งเเล้ว
750825872,14/2/2565,19.sCCC,ส่งเเล้ว
750791403,23/2/2565,18.sB+,ส่งเเล้ว
750692480,23/2/2565,20.sCC,ส่งเเล้ว
nan,14/3/2565,15.sA+,ส่งเเล้ว
750739040,28/3/2565,20.sCC,ส่งเเล้ว
750863661,23/3/2565,18.sB+,ส่งเเล้ว
750896624,29/3/2565,21.sC+,ส่งเเล้ว
750894182,4/4/2565 0:00,18.sB+,ส่งเเล้ว
750102024,27/4/2565,18.sB+,ส่งเเล้ว
nan,25/4/2565,18.sB+,ส่งเเล้ว
nan,4/9/2565 0:00,15.sA+,ส่งเเล้ว
750406118,27/5/2565,18.sB+,ส่งเเล้ว
520000767,25/5/2565,20.sCC,ส่งเเล้ว
750173853,13/1/2565,17.sBB,ส่งเเล้ว
750798436,14/1/2565,15.sA+,ส่งเเล้ว
750855210,2/9/2565 0:00,17.sBB,ส่งเเล้ว
680004251,2/9/2565 0:00,20.sCC,ส่งเเล้ว
750902971,14/2/2565,21.sC+,ส่งเเล้ว
360001391,3/7/2565 0:00,20.sCC,ส่งเเล้ว
730031738,28/2/2565,21.sC+,ส่งเเล้ว
730033748,28/2/2565,21.sC+,ส่งเเล้ว
610025511,3/2/2565 0:00,19.sCCC,ส่งเเล้ว
730006354,15/3/2565,19.sCCC,ส่งเเล้ว
610005225,3/7/2565 0:00,20.sCC,ส่งเเล้ว
750908898,3/4/2565 0:00,20.sCC,ส่งเเล้ว
750908899,3/4/2565 0:00,20.sCC,ส่งเเล้ว
740000608,17/3/2565,19.sCCC,ส่งเเล้ว
750747123,3/11/2565 0:00,20.sCC,ส่งเเล้ว
730007596,3/11/2565 0:00,20.sCC,ส่งเเล้ว
750935296,23/3/2565,17.sBB,ส่งเเล้ว
530003423,3/2/2565 0:00,21.sC+,ส่งเเล้ว
680008547,4/4/2565 0:00,19.sCCC,ส่งเเล้ว
680004262,24/3/2565,20.sCC,ส่งเเล้ว
730004741,24/3/2565,20.sCC,ส่งเเล้ว
750728591,3/10/2565 0:00,17.sBB,ส่งเเล้ว
750797944,4/7/2565 0:00,17.sBB,ส่งเเล้ว
730016321,20/4/2565,15.sA+,ส่งเเล้ว
750711560,4/12/2565 0:00,19.sCCC,ส่งเเล้ว
750689991,30/3/2565,22.sDDD,ส่งเเล้ว
750937992,29/4/2565,16.sBBB,ส่งเเล้ว
510000452,5/11/2565 0:00,19.sCCC,ส่งเเล้ว
750819755,5/10/2565 0:00,21.sC+,ส่งเเล้ว
750905839,5/9/2565 0:00,20.sCC,ส่งเเล้ว
750899787,30/5/2565,18.sB+,ส่งเเล้ว
750799979,6/2/2565 0:00,16.sBBB,ส่งเเล้ว
750941913,23/5/2565,16.sBBB,ส่งเเล้ว
750630246,25/5/2565,22.sDDD,ส่งเเล้ว
750812560,6/2/2565 0:00,22.sDDD,ส่งเเล้ว
670003806,16/6/2565,20.sCC,ส่งเเล้ว
750911412,20/6/2565,19.sCCC,ส่งเเล้ว
750911065,14/6/2565,15.sA+,ส่งเเล้ว
750908595,6/10/2565 0:00,16.sBBB,ส่งเเล้ว
750747060,16/6/2565,20.sCC,ส่งเเล้ว
750937826,20/6/2565,19.sCCC,ส่งเเล้ว
540003710,6/2/2565 0:00,15.sA+,ส่งเเล้ว
750068349,13/6/2565,15.sA+,ส่งเเล้ว
750912456,13/6/2565,18.sB+,ส่งเเล้ว
540001262,7/5/2565 0:00,17.sBB,ส่งเเล้ว
690001559,7/5/2565 0:00,21.sC+,ส่งเเล้ว
680017512,7/5/2565 0:00,21.sC+,ส่งเเล้ว
nan,28/6/2565,19.sCCC,ส่งเเล้ว
590001088,18/7/2565,17.sBB,ส่งเเล้ว
750590121,11/7/2565 0:00,18.sB+,ส่งเเล้ว
750037218,27/7/2565,19.sCCC,ส่งเเล้ว
750102024,19/7/2565,17.sBB,ส่งเเล้ว
750941881,19/7/2565,17.sBB,ส่งเเล้ว
750741071,8/2/2565 0:00,19.sCCC,ส่งเเล้ว
750934139,8/4/2565 0:00,16.sBBB,ส่งเเล้ว
750959783,18/11/2565,17.sBB,ส่งเเล้ว
750439745,8/11/2565 0:00,20.sCC,ส่งเเล้ว
750723233,8/4/2565 0:00,22.sDDD,ส่งเเล้ว
750856473,8/8/2565 0:00,20.sCC,ส่งเเล้ว
750929545,8/5/2565 0:00,18.sB+,ส่งเเล้ว
nan,26/8/2565,17.sBB,ส่งเเล้ว
nan,25/4/2565 0:00,18.sB+,ส่งเเล้ว
680007970,28/1/2565,18.sB+,ส่งเเล้ว
750700734,25/1/2565,18.sB+,ส่งเเล้ว
670001877,27/1/2565,20.sCC,ส่งเเล้ว
750817639,11/2/2565 0:00,16.sBBB,ส่งเเล้ว
610008012,2/2/2565 0:00,18.sB+,ส่งเเล้ว
390001766,17/8/2565,16.sBBB,ส่งเเล้ว
750920523,6/8/2565 0:00,19.sCCC,ส่งเเล้ว
750934530,22/3/2565,21.sC+,ส่งเเล้ว
680030356,22/3/2565,19.sCCC,ส่งเเล้ว
750406726,1/3/2565 0:00,15.sA+,ส่งเเล้ว
680009124,25/3/2565,21.sC+,ส่งเเล้ว
730018109,27/1/2565,14.sAA,ส่งเเล้ว
580013300,14/1/2565 0:00,20.sCC,ส่งเเล้ว
750070640,8/4/2565 0:00,21.sC+,ส่งเเล้ว
750810662,16/8/2565,19.sCCC,ส่งเเล้ว
750810685,16/8/2565,17.sBB,ส่งเเล้ว
750540605,9/2/2565 0:00,16.sBBB,ส่งเเล้ว
nan,31/8/2565,16.sBBB,ส่งเเล้ว
750791403,8/11/2565 0:00,18.sB+,ส่งเเล้ว
510001317,9/2/2565 0:00,21.sC+,ส่งเเล้ว
nan,13/9/2565,20.sCC,ส่งเเล้ว
750741071,12/1/2565 0:00,19.sCCC,ส่งเเล้ว
nan,27/10/2565,18.sB+,ส่งเเล้ว
750745683,12/7/2565 0:00,22.sDDD,ส่งเเล้ว
750560001,12/6/2565 0:00,19.sCCC,ส่งเเล้ว
nan,18/11/2565,17.sBB,ส่งเเล้ว
750867488,12/6/2565 0:00,19.sCCC,ส่งเเล้ว
nan,12/2/2565 0:00,19.sCCC,ส่งเเล้ว
750692413,12/9/2565 0:00,19.sCCC,ส่งเเล้ว
nan,18/11/2565,21.sC+,ส่งเเล้ว
480003008,14/12/2565,21.sC+,ส่งเเล้ว
580003343,20/12/2565,20.sCC,ส่งเเล้ว
nan,21/12/2565,17.sBB,ส่งเเล้ว
nan,21/12/2565,18.sB+,ส่งเเล้ว
nan,29/12/2565,21.sC+,ส่งเเล้ว
750054639,15/12/2565,20.sCC,ส่งเเล้ว
750900254,19/12/2565,17.sBB,ส่งเเล้ว
750589526,19/12/2565,20.sCC,ส่งเเล้ว
690001351,16/12/2565,17.sBB,ส่งเเล้ว
750715418,15/12/2565,19.sCCC,ส่งเเล้ว
750708003,12/8/2565 0:00,14.sAA,ส่งเเล้ว
750801202,14/2/2565,17.sBB,ส่งเเล้ว
750749848,18/10/2565,20.sCC,ส่งเเล้ว
7300188109,27/1/2565,14.sAA,ส่งเเล้ว
750601559,18/8/2565,17.sBB,ส่งเเล้ว
750748174,27/9/2565,6.B+,ส่งเเล้ว
750812555,6/2/2565 0:00,22.sDDD,ส่งเเล้ว
750846657,28/3/2565,20.sCC,ส่งเเล้ว
750846654,28/3/2565,20.sCC,ส่งเเล้ว
750519925,9/1/2565 0:00,17.sBB,ส่งเเล้ว
750815251,12/6/2565 0:00,6.B+,ส่งเเล้ว
750840591,12/6/2565 0:00,6.B+,ส่งเเล้ว
750932162,12/9/2565 0:00,5.BB,ส่งเเล้ว
750757338,15/12/2565,5.BB,ส่งเเล้ว
750112706,15/12/2565,5.BB,ส่งเเล้ว
670019180,15/12/2565,5.BB,ส่งเเล้ว
750027650,21/12/2565,6.B+,ส่งเเล้ว
310000017,5/7/2565 0:00,17.sBB,ส่งเเล้ว
750896506,22/12/2565,17.sBB,ส่งเเล้ว
750303566,26/4/2565,17.sBB,ส่งเเล้ว
750760052,2/7/2565 0:00,16.sBBB,ส่งเเล้ว
750192705,21/5/2565,17.sBB,ส่งเเล้ว
750897189,25/10/2565,21.sC+,ส่งเเล้ว
750930767,28/11/2565,16.sBBB,ส่งเเล้ว
680018357,1/11/2565 0:00,14.sAA,ส่งเเล้ว
750758437,24/1/2565,18.sB+,ส่งเเล้ว
750961090,31/8/2565,16.sBBB,ส่งเเล้ว
750961263,13/9/2565,20.sCC,ส่งเเล้ว
750820157,7/4/2565 0:00,16.sBBB,ส่งเเล้ว
730013483,11/7/2565 0:00,19.sCCC,ส่งเเล้ว
750709169,18/7/2565 0:00,20.sCC,ส่งเเล้ว
750791441,7/7/2565 0:00,20.sCC,ส่งเเล้ว
730022993,8/7/2565 0:00,19.sCCC,ส่งเเล้ว
750679514,30/6/2565 0:00,17.sBB,ส่งเเล้ว
360001458,17/1/2565,15.sA+,ส่งเเล้ว
750725217,20/1/2565,18.sB+,ส่งเเล้ว
750751916,26/1/2565,19.sCCC,ส่งเเล้ว
750674381,30/1/2565,21.sC+,ส่งเเล้ว
750791441,17/1/2565,20.sCC,ส่งเเล้ว
750703242,2/9/2565 0:00,20.sCC,ส่งเเล้ว
nan,24/1/2565,20.sCC,ส่งเเล้ว
750897008,1/2/2565 0:00,20.sCC,ส่งเเล้ว
750852910,10/2/2565 0:00,21.sC+,ส่งเเล้ว
750676263,2/10/2565 0:00,21.sC+,ส่งเเล้ว
650000643,28/1/2565,21.sC+,ส่งเเล้ว
750241764,2/3/2565 0:00,19.sCCC,ส่งเเล้ว
nan,3/11/2565 0:00,19.sCCC,ส่งเเล้ว
750719541,3/3/2565 0:00,20.sCC,ส่งเเล้ว
730003238,3/7/2565 0:00,22.sDDD,ส่งเเล้ว
750438636,3/7/2565 0:00,21.sC+,ส่งเเล้ว
680009350,28/2/2565,22.sDDD,ส่งเเล้ว
750934139,19/3/2565,16.sBBB,ส่งเเล้ว
nan,18/3/2565,17.sBB,ส่งเเล้ว
730013902,15/3/2565,20.sCC,ส่งเเล้ว
670007676,23/3/2565,20.sCC,ส่งเเล้ว
670007676,4/2/2565 0:00,20.sCC,ส่งเเล้ว
750776262,11/3/2565 0:00,21.sC+,ส่งเเล้ว
750820722,4/8/2565 0:00,17.sBB,ส่งเเล้ว
750769899,3/10/2565 0:00,21.sC+,ส่งเเล้ว
740001748,22/4/2565,17.sBB,ส่งเเล้ว
750555144,20/4/2565,16.sBBB,ส่งเเล้ว
480002052,21/4/2565,17.sBB,ส่งเเล้ว
750793460,4/7/2565 0:00,20.sCC,ส่งเเล้ว
730013517,5/10/2565 0:00,21.sC+,ส่งเเล้ว
730013516,5/12/2565 0:00,21.sC+,ส่งเเล้ว
730013487,5/3/2565 0:00,18.sB+,ส่งเเล้ว
730003994,25/4/2565,19.sCCC,ส่งเเล้ว
750693219,27/4/2565,21.sC+,ส่งเเล้ว
730022993,25/4/2565,19.sCCC,ส่งเเล้ว
610008276,5/6/2565 0:00,21.sC+,ส่งเเล้ว
750749689,16/3/2565,22.sDDD,ส่งเเล้ว
750749689,12/1/2565 0:00,19.sCCC,ส่งเเล้ว
750708633,5/12/2565 0:00,19.sCCC,ส่งเเล้ว
610008283,5/12/2565 0:00,19.sCCC,ส่งเเล้ว
540001248,5/12/2565 0:00,19.sCCC,ส่งเเล้ว
480602348,5/10/2565 0:00,20.sCC,ส่งเเล้ว
730003994,12/5/2565 0:00,20.sCC,ส่งเเล้ว
750709392,13/5/2565,17.sBB,ส่งเเล้ว
750708903,13/5/2565,20.sCC,ส่งเเล้ว
750482789,22/4/2565,19.sCCC,ส่งเเล้ว
680012544,19/5/2565,21.sC+,ส่งเเล้ว
730021101,24/5/2565,18.sB+,ส่งเเล้ว
740001747,23/5/2565,18.sB+,ส่งเเล้ว
710001279,25/5/2565,17.sBB,ส่งเเล้ว
730013474,18/5/2565,21.sC+,ส่งเเล้ว
730013487,24/5/2565,19.sCCC,ส่งเเล้ว
710001992,19/5/2565,19.sCCC,ส่งเเล้ว
310003398,18/5/2565,19.sCCC,ส่งเเล้ว
730008234,20/5/2565,20.sCC,ส่งเเล้ว
750709723,25/5/2565,21.sC+,ส่งเเล้ว
670005617,6/7/2565 0:00,21.sC+,ส่งเเล้ว
610006195,5/5/2565 0:00,19.sCCC,ส่งเเล้ว
750719541,6/7/2565 0:00,20.sCC,ส่งเเล้ว
610025253,13/6/2565,19.sCCC,ส่งเเล้ว
480002815,6/7/2565 0:00,19.sCCC,ส่งเเล้ว
750153562,14/6/2565,20.sCC,ส่งเเล้ว
750862337,23/5/2565,20.sCC,ส่งเเล้ว
750708903,13/6/2565,20.sCC,ส่งเเล้ว
730015329,16/6/2565,17.sBB,ส่งเเล้ว
730035980,17/6/2565 0:00,15.sA+,ส่งเเล้ว
680001860,1/7/2565 0:00,15.sA+,ส่งเเล้ว
730003994,8/1/2565 0:00,19.sCCC,ส่งเเล้ว
530001708,15/8/2565,18.sB+,ส่งเเล้ว
750923411,8/5/2565 0:00,21.sC+,ส่งเเล้ว
580004367,15/8/2565,19.sCCC,ส่งเเล้ว
781039630,8/9/2565 0:00,18.sB+,ส่งเเล้ว
610008276,25/8/2565,21.sC+,ส่งเเล้ว
730013485,24/8/2565,15.sA+,ส่งเเล้ว
750670453,15/8/2565,16.sBBB,ส่งเเล้ว
750643560,18/8/2565,17.sBB,ส่งเเล้ว
750709392,18/7/2565 0:00,20.sCC,ส่งเเล้ว
750761041,23/2/2565 0:00,16.sBBB,ส่งเเล้ว
750169877,5/8/2565 0:00,16.sBBB,ส่งเเล้ว
nan,12/9/2565 0:00,17.sBB,ส่งเเล้ว
730003994,31/8/2565,16.sBBB,ส่งเเล้ว
490000862,25/8/2565,17.sBB,ส่งเเล้ว
490000143,30/8/2565,17.sBB,ส่งเเล้ว
750919149,30/8/2565,15.sA+,ส่งเเล้ว
670007676,30/8/2565,20.sCC,ส่งเเล้ว
620001113,14/9/2565,16.sBBB,ส่งเเล้ว
nan,9/12/2565 0:00,17.sBB,ส่งเเล้ว
730021227,22/8/2565,19.sCCC,ส่งเเล้ว
750670453,28/11/2565,18.sB+,ส่งเเล้ว
750670453,11/9/2565 0:00,19.sCCC,ส่งเเล้ว
750708473,28/11/2565,17.sBB,ส่งเเล้ว
750703242,12/8/2565 0:00,18.sB+,ส่งเเล้ว
750589526,25/11/2565,20.sCC,ส่งเเล้ว
750820722,12/6/2565 0:00,18.sB+,ส่งเเล้ว
750674381,12/9/2565 0:00,21.sC+,ส่งเเล้ว
650000643,12/6/2565 0:00,20.sCC,ส่งเเล้ว
610008283,30/12/2565,19.sCCC,ส่งเเล้ว
670007676,30/12/2565,20.sCC,ส่งเเล้ว
750853485,10/5/2565 0:00,21.sC+,ส่งเเล้ว
750748204,10/5/2565 0:00,17.sBB,ส่งเเล้ว
750711720,12/2/2565 0:00,17.sBB,ส่งเเล้ว
620001442,10/1/2565 0:00,16.sBBB,ส่งเเล้ว
750061736,7/2/2565 0:00,21.sC+,ส่งเเล้ว
750085385,1/5/2565 0:00,17.sBB,ส่งเเล้ว
